SMILES,boiling_point,nHBAcc,nHBDon,nRot,RotRatio,SLogP,SMR,MW,AMW,WPath,WPol,Zagreb1,Zagreb2,mZagreb1,mZagreb2
string,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
meta,,,,,,,,,,,,,,,
ClC1=CC=CC=N1,170,1,0,0,0,1.735,29.247,113.003,10.273,42,5,30,31,2.36111,1.66667
OC(=O)C(F)(F)F,73,1,1,0,0,0.6333,13.6908,113.993,14.2491,42,6,30,30,5.17361,1.5
ClCC(=O)OC(=O)CCl,203,3,0,2,0.25,0.5338,32.539,169.954,13.0734,100,8,34,34,4.97222,2.33333
FC1=C(F)C(F)=C(F)C(F)=C1F,80.2,0,0,0,0,2.5212,26.19,185.99,15.4992,174,21,60,72,6.66667,2.66667
C[Si](C)(CCl)C1=CC=CC=C1,225,0,0,2,0.181818,2.38,54.278,184.048,7.66865,150,14,52,58,4.67361,2.54167
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,177,1,1,5,0.238095,3.8098,38.4258,363.977,15.8251,882,51,120,150,15.4861,4.3125
FC(F)(F)CI,54.5,0,0,0,0,1.9837,24.942,209.915,26.2394,28,3,24,22,4.3125,1.375
OCC(F)(F)C(F)(F)C(F)(F)F,95,1,1,2,0.181818,1.8116,23.0348,200.007,13.3338,175,21,60,70,8.4375,2.5
CCOC(O)C(Cl)(Cl)Cl,115.5,2,1,2,0.25,1.7115,37.9228,191.951,11.9969,92,9,38,39,5.67361,2.08333
FC(F)(Cl)CCl,46.8,0,0,1,0.2,2.0568,21.52,133.95,16.7438,28,3,24,22,4.3125,1.375
ClCCS(Cl)(=O)=O,201.5,2,0,2,0.333333,0.7938,30.3598,161.931,14.721,46,4,28,26,4.5625,1.625
FC(F)(F)CBr,26,0,0,0,0,1.9436,19.849,161.929,20.2411,28,3,24,22,4.3125,1.375
FC(F)=CCl,-18.5,0,0,0,0,1.9631,16.152,97.9735,16.3289,18,2,16,14,3.36111,1.33333
CC(C)(CCl)C1=CC=CC=C1,223,0,0,2,0.181818,3.203,50.188,168.071,7.00294,150,14,52,58,4.67361,2.54167
FC(F)OCC(F)(F)F,29.3,1,0,2,0.25,1.7879,18.011,150.01,12.5009,98,6,38,36,5.67361,1.95833
CC1=C(Cl)C=CC=C1N(=O)=O,238,2,0,1,0.0909091,2.55662,42.8434,171.009,10.0593,146,15,52,59,5.19444,2.5
FC(Cl)(Cl)I,90,0,0,0,0,2.4798,29.565,227.841,45.5681,16,0,20,16,4.0625,1
FB(F)C1=CC=CC=C1,98,0,0,1,0.111111,1.3208,34.046,126.045,9.00323,88,9,40,43,3.47222,2.11111
ClCC(Cl)C=C,116,0,0,2,0.4,2.0186,30.558,123.985,10.3321,31,4,20,19,3.61111,1.66667
CCCCC(C)Cl,122.5,0,0,3,0.5,2.8039,34.84,120.071,6.00353,52,4,24,22,3.86111,1.83333
ClC1CCCC1,114,0,0,0,0,2.1678,28.109,104.039,6.93595,26,2,26,27,2.11111,1.41667
CCC(Cl)=O,80,1,0,1,0.25,1.1618,21.151,92.0029,9.20029,18,2,16,14,3.36111,1.33333
ClC(Cl)(Cl)C1CO1,149,1,0,0,0,1.7554,30.03,159.925,15.9925,41,6,36,40,3.67361,1.41667
CCF,-37.6,0,0,0,0,0.9758,11.649,48.0375,6.00469,4,0,6,4,2.25,1
ClC1=CC=C(Cl)C=C1,174,0,0,0,0,2.9934,36.462,145.969,12.1641,62,7,36,38,3.22222,1.83333
CCCCCCCCCl,181.5,0,0,6,0.75,3.5857,44.096,148.102,5.69623,120,6,30,28,3.75,2.5
CCC(Cl)(Cl)N(=O)=O,145,2,0,2,0.285714,1.8045,31.7224,156.97,12.0746,62,9,34,36,5.42361,1.875
FC1=C(F)C(F)=C(C(F)=C1F)S(Cl)(=O)=O,210.5,2,0,1,0.0666667,2.3096,39.2708,265.923,17.7282,318,27,78,93,8.72917,3.16667
NC1=C(N)C=C(Cl)C=C1,229.3,2,2,0,0,1.5044,40.2768,142.03,8.87686,84,10,42,46,4.08333,2.02778
ClC(Cl)=CBr,107.5,0,0,0,0,2.6578,28.716,173.864,28.9773,18,2,16,14,3.36111,1.33333
OC1=CC(Cl)=CC(Cl)=C1,233,1,1,0,0,2.699,38.1268,161.964,12.4588,84,9,42,45,4.08333,2
FC(F)(F)C(F)(I)C(F)(F)F,40,0,0,0,0,3.2118,29.969,295.893,26.8994,136,18,56,64,8.1875,2.125
OCC(F)(F)C(F)(F)F,82,1,1,1,0.125,1.1763,18.0878,150.01,12.5009,82,12,42,46,6.375,1.9375
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,82.5,0,0,4,0.181818,5.2875,36.845,387.974,16.8685,988,54,128,160,16.4375,4.375
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,310,1,1,0,0,4.6592,53.1568,263.847,20.2959,174,21,60,72,6.66667,2.66667
OC(=O)C(\F)=C\C1=CC=CC=C1,290,1,1,2,0.166667,2.0816,43.1628,166.043,8.73911,212,13,54,58,4.83333,2.77778
ClC1=C(C=CC=C1N(=O)=O)N(=O)=O,315,4,0,2,0.153846,2.1564,44.7608,201.978,12.6236,234,19,62,71,6.30556,2.94444
OC(=O)C(F)F,133,1,1,1,0.2,0.3361,13.6398,96.0023,12.0003,29,4,22,21,4.22222,1.44444
FC1=CC(F)=C(F)C(C=O)=C1F,178,1,0,1,0.0833333,2.0555,31.6615,178.004,12.7146,180,19,58,68,6.05556,2.77778
ClC(=O)C(Cl)=O,63.5,2,0,1,0.2,0.5172,21.72,125.928,20.9879,29,4,22,21,4.22222,1.44444
CCCCCCCF,117.9,0,0,5,0.714286,2.9263,34.734,118.116,5.13547,84,5,26,24,3.5,2.25
OC1=C(F)C=CC=C1,151.5,1,1,0,0,1.5313,28.0648,112.032,8.61788,60,8,36,39,3.22222,1.86111
CC(C)OC(Cl)=O,105,2,0,1,0.166667,1.7702,27.47,122.013,8.71525,48,4,26,24,4.47222,1.66667
C[Si](C)(C)OS(=O)(=O)C(F)(F)F,140,3,0,2,0.181818,1.6875,39.4058,221.999,10.5714,187,15,60,64,8.4375,2.3125
NC(=O)C(Cl)Cl,234,1,1,1,0.2,0.2754,24.6884,126.959,14.1066,29,4,22,21,4.22222,1.44444
FC(F)(Cl)C(Cl)(Cl)Cl,91.5,0,0,0,0,3.1882,31.09,201.872,25.234,58,9,38,40,6.125,1.5625
FC1(F)C(F)(F)C2(F)C(F)(C1(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)F,118,0,0,0,0,4.8773,42.307,411.974,16.479,1012,82,160,224,16.5625,4.625
ClC(Cl)(Cl)C=O,97.8,1,0,0,0,1.5555,26.354,145.909,20.8442,28,3,24,22,4.3125,1.375
OC1=CC(Cl)=C(O)C=C1,263,2,2,0,0,1.7512,34.7816,143.998,10.2856,84,10,42,46,4.08333,2.02778
ClCCC(Cl)=O,144,1,0,2,0.4,1.3807,26.197,125.964,12.5964,32,3,20,18,3.61111,1.58333
CCCCC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,138,0,0,5,0.227273,6.1205,50.017,376.05,11.7516,956,50,122,150,15.125,4.6875
OC1=CC(Cl)=CC=C1,214,1,1,0,0,2.0456,33.1168,128.003,9.84638,61,7,36,38,3.22222,1.83333
COCCCCl,111,1,0,3,0.6,1.2617,27.213,108.034,7.20228,35,3,18,16,3,1.75
CCCCOC(=O)CCl,183,2,0,4,0.5,1.5685,36.587,150.045,7.50224,110,7,32,31,4.36111,2.41667
FC1=CC=CC(F)=N1,125,1,0,0,0,1.3598,24.153,115.023,10.4567,61,7,36,38,3.22222,1.83333
FC(Cl)C(F)(Cl)Cl,72.5,0,0,1,0.166667,2.6217,26.294,167.911,20.9889,42,6,30,30,5.17361,1.5
CF,-78.4,0,0,0,0,0.5857,7.032,34.0219,6.80438,1,0,2,1,2,1
ClCCC(Cl)(Cl)Cl,157,0,0,1,0.166667,2.9855,35.627,179.907,16.3552,46,4,28,26,4.5625,1.625
CCOC(=O)C(Cl)(Cl)C(C)=O,206,3,0,3,0.3,1.3124,41.751,197.985,10.4203,156,15,48,53,6.78472,2.58333
CCCCCCCCCCl,203.5,0,0,7,0.777778,3.9758,48.713,162.118,5.59026,165,7,34,32,4,2.75
CC(C)C(Cl)=O,92,1,0,1,0.2,1.4078,25.698,106.019,8.15527,29,4,22,21,4.22222,1.44444
FCC=C,-3,0,0,1,0.333333,1.1419,16.172,60.0375,6.67084,10,1,10,8,2.5,1.25
FCCl,-9.1,0,0,0,0,1.1522,11.828,67.9829,13.5966,4,0,6,4,2.25,1
FC1=CC=CC(=C1)N(=O)=O,199,2,0,1,0.1,1.7339,33.0544,141.023,10.073,117,11,46,50,4.33333,2.27778
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,192,1,1,6,0.3,3.5126,38.3748,345.986,15.0429,784,48,112,140,14.5347,4.25
CCC(Cl)CCl,124.1,0,0,2,0.4,2.2426,30.652,126,9.00002,31,4,20,19,3.61111,1.66667
NC1=C(F)C(F)=CC(F)=C1F,158,1,1,0,0,1.8252,30.6864,165.02,11.7872,140,17,54,63,5.80556,2.44444
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,118,0,0,4,0.210526,5.1177,44.81,445.884,22.2942,676,45,110,136,14.375,3.8125
CCOC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,109,1,0,4,0.190476,4.7192,42.416,364.013,13.482,832,49,118,146,14.875,4.4375
FC(F)(F)C(F)(Cl)C(F)(Cl)C(F)(F)F,63,0,0,1,0.0769231,3.9202,31.494,269.925,19.2804,259,27,74,88,10.25,2.6875
CC(F)F,-24.7,0,0,0,0,1.2714,11.678,66.0281,8.25351,9,0,12,9,3.11111,1
FC1(F)C(F)(F)C(F)(Cl)C1(F)Cl,59.5,0,0,0,0,3.0798,29.278,231.928,19.3273,160,24,72,96,8.25,2.25
CC1=CC=C(C=C1Cl)N(=O)=O,260,2,0,1,0.0909091,2.55662,42.8434,171.009,10.0593,152,14,52,58,5.19444,2.47222
FC(F)(F)C1=CC(=CC=C1)C(F)(F)F,116,0,0,0,0,3.7242,36.446,214.022,11.8901,289,19,72,80,7.34722,2.83333
CC1=CC(=CC=C1Cl)N(=O)=O,249,2,0,1,0.0909091,2.55662,42.8434,171.009,10.0593,152,14,52,58,5.19444,2.47222
ClCCI,140,0,0,1,0.333333,1.6602,29.607,189.905,23.7381,10,1,10,8,2.5,1.25
ClC1=CC2=C(C=CC=C2)C(Cl)=C1,291,0,0,0,0,4.1466,53.968,195.985,10.888,179,17,62,72,3.94444,2.63889
FC(F)(F)C(=O)C1=CC=CC=C1,153,1,0,1,0.0833333,2.4316,36.8275,174.029,10.237,193,15,58,64,5.53472,2.61111
FC(F)(F)C(F)(F)C(F)(F)C(=O)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,106.5,3,0,4,0.166667,3.722,42.997,409.962,16.3985,1416,52,134,162,16.8472,4.91667
FC(F)(F)C(\Cl)=C/Cl,53.7,0,0,0,0,2.8677,25.844,163.941,18.2156,63,8,34,35,5.42361,1.83333
FC(F)COC(F)F,55.3,1,0,3,0.428571,1.4907,17.96,132.02,11.0017,74,5,30,28,4.72222,1.91667
OS(=O)(=O)C(F)(F)F,166,2,1,0,0,0.394,17.6036,149.96,16.6622,58,9,38,40,6.125,1.5625
COC1=C(Cl)C=C(Cl)C=C1Cl,241,1,0,1,0.0909091,3.6554,48.024,209.941,13.1213,146,15,52,59,5.19444,2.55556
FC(F)=O,-84.5,1,0,0,0,1.0454,7.612,65.9917,16.4979,9,0,12,9,3.11111,1
CCCCCCCCCCCCCCCCCl,322,0,0,14,0.875,6.7065,81.032,260.227,5.20454,816,14,62,60,5.75,4.5
FC1=CC=C(C=O)C=C1,181.5,1,0,1,0.111111,1.6382,31.7875,124.032,8.85946,90,9,40,43,3.47222,2.16667
FCC(F)(F)C(F)F,26,0,0,2,0.285714,1.8563,16.926,134.015,12.1832,62,9,34,36,5.42361,1.875
CC(F)=C(Cl)Cl,78,0,0,0,0,2.6225,25.514,127.96,14.2177,29,4,22,21,4.22222,1.44444
OCC1=C(F)C(F)=C(F)C(F)=C1F,181,1,1,1,0.0769231,1.8744,32.1548,198.01,12.3757,220,23,64,77,6.91667,3
OCC(F)(F)C(F)C(F)(F)F,117,1,1,2,0.2,1.5144,22.9838,182.017,12.1344,146,15,52,57,7.48611,2.375
ClCC(Cl)C1=CC=CC=C1,233.5,0,0,2,0.2,3.2053,45.756,174,9.66668,121,11,44,48,3.72222,2.44444
CCCCOC(=O)C(Cl)Cl,193.5,2,0,4,0.444444,2.1334,41.361,184.006,9.20029,143,9,38,38,5.22222,2.52778
CC(OC1=CC=C(Cl)C=C1C)C(O)=O,298,2,1,3,0.214286,2.50032,53.9148,214.04,8.56159,316,18,66,73,6.55556,3.13889
ClCC(Cl)C(Cl)(Cl)Cl,179.5,0,0,1,0.142857,3.2028,40.651,213.868,19.4425,63,8,34,35,5.42361,1.83333
CC(=O)C1=CC=CC(Cl)=C1,244,1,0,1,0.1,2.5426,41.4565,154.019,9.05991,117,11,46,50,4.33333,2.27778
ClC(=O)OCC1=CC=CC=C1,152,2,0,2,0.181818,2.562,42.48,170.013,9.44519,174,10,48,50,3.97222,2.58333
CC(Cl)(Cl)C(Cl)Cl,153,0,0,1,0.166667,2.9839,35.605,179.907,16.3552,42,6,30,30,5.17361,1.5
CN(C)B(F)N(C)C,106,2,0,2,0.285714,0.064,34.236,118.108,5.90539,65,8,32,33,5.33333,1.88889
CC(C)C1=CC=C(Cl)C=C1,198.3,0,0,1,0.1,3.4634,45.541,154.055,7.33595,120,11,46,50,4.33333,2.27778
COC1=CC=C(C=C1)C(Cl)=O,262.5,2,0,2,0.181818,2.0742,43.1775,170.013,9.44519,162,13,50,55,4.58333,2.61111
ClC1=CC(Cl)=C(Cl)C=C1Cl,244.5,0,0,0,0,4.3002,46.482,213.891,17.8243,111,13,48,54,4.94444,2.22222
NC1=C(F)C=CC=C1,175,1,1,0,0,1.4079,30.8124,111.048,7.93203,60,8,36,39,3.22222,1.86111
COC(=O)C(F)(F)C(F)(F)F,59.5,2,0,1,0.1,1.357,23.018,178.005,12.7147,144,17,52,59,7.48611,2.39583
OCCCF,127.8,1,1,2,0.5,0.3383,17.6778,78.0481,6.50401,20,2,14,12,2.75,1.5
COP(=O)(OC)OC=C(Cl)Cl,234.1,4,0,4,0.4,2.6804,42.4985,219.946,12.2192,168,12,46,48,6.17361,2.70833
C[Si](C)(Cl)O[Si](C)(C)O[Si](C)(C)Cl,184,2,0,4,0.333333,3.6026,66.322,275.999,8.9032,248,12,64,64,8.6875,2.5
FC1=CC(F)=NC(F)=C1,94.5,1,0,0,0,1.4989,24.111,133.014,12.0922,84,9,42,45,4.08333,2
CC(Cl)C(O)=O,185,1,1,1,0.2,0.6983,22.9508,107.998,9.81798,29,4,22,21,4.22222,1.44444
ClC(Cl)(Cl)Cl,76.8,0,0,0,0,2.5529,26.143,151.875,30.3751,16,0,20,16,4.0625,1
CC(=O)C1=CC=CC(=C1)C(F)(F)F,199,1,0,1,0.0769231,2.908,41.4485,188.045,9.40224,240,17,64,71,6.39583,2.77778
CCC(F)=O,44,1,0,1,0.25,0.8925,16.406,76.0324,7.60324,18,2,16,14,3.36111,1.33333
NC1=CC(Cl)=C(Cl)C=C1Cl,270,1,1,0,0,3.229,45.8844,194.941,13.9244,111,13,48,54,4.94444,2.22222
FC(F)(F)C(=O)OC(=O)C(F)(F)F,39.5,3,0,0,0,1.1808,23.209,209.975,16.1519,252,16,62,66,8.59722,2.66667
FC1=C(F)C2=C(C(F)=C1F)C(F)=C(F)C(F)=C2F,209,0,0,0,0,3.9526,43.612,271.987,15.1104,505,38,98,123,9.11111,3.88889
ClCCCC=C,105,0,0,3,0.6,2.1914,30.151,104.039,6.93595,35,3,18,16,3,1.75
ClC(=C)C(Cl)=C,98,0,0,1,0.2,2.4914,29.986,121.969,12.1969,29,4,22,21,4.22222,1.44444
FC1=C(F)C(F)=C(C(Cl)=O)C(F)=C1F,158.5,1,0,1,0.0714286,2.7611,36.4155,229.956,16.4254,268,25,70,84,7.77778,3.11111
CC(C)(O)C(F)(F)F,81,1,1,0,0,1.3196,22.3528,128.045,8.53633,58,9,38,40,6.125,1.5625
FC(F)(F)C1=CC=CC(Cl)=C1,137.5,0,0,0,0,3.3588,36.454,179.995,11.9997,148,13,54,59,5.28472,2.33333
ClC1=CC=C(C=C1)C(Cl)(Cl)Cl,245,0,0,0,0,4.1667,50.689,227.907,15.1938,152,13,54,59,5.28472,2.33333
ClCC1=C(Cl)C=C(Cl)C(Cl)=C1,273,0,0,1,0.0909091,4.3856,51.029,227.907,15.1938,148,15,52,59,5.19444,2.55556
ClCC1=CC=C(Cl)C=C1,223,0,0,1,0.111111,3.0788,41.009,159.985,10.6656,90,9,40,43,3.47222,2.16667
FC(F)C(F)(F)CBr,74,0,0,2,0.285714,2.2817,24.745,193.935,17.6305,62,9,34,36,5.42361,1.875
CC(CCl)OC(C)CCl,187,1,0,4,0.5,2.2576,41.449,170.027,8.0965,100,8,34,34,4.97222,2.33333
CC1=CC=C(Cl)C(C)=C1,184,0,0,0,0,2.95684,40.926,140.039,7.77996,84,10,42,46,4.08333,2.02778
ClC(Cl)C(Cl)Cl,146.5,0,0,1,0.2,2.5938,30.988,165.891,20.7364,29,4,22,21,4.22222,1.44444
CCOC(Cl)CCl,145,1,0,3,0.5,1.8266,31.987,141.995,9.46635,50,5,24,23,3.86111,1.91667
CC1=CC(Cl)=NC(Cl)=N1,219,2,0,0,0,2.09182,36.789,161.975,12.4596,84,9,42,45,4.08333,2
FC(Br)C(F)(F)Br,76,0,0,1,0.166667,2.6646,27.697,239.84,29.98,42,6,30,30,5.17361,1.5
OC(=O)C1=CC=CC=C1Cl,287,1,1,1,0.1,2.0382,38.4113,155.998,10.3999,114,12,46,51,4.33333,2.30556
ClC1=CN=CC=N1,153.5,2,0,0,0,1.13,27.042,113.998,11.3998,42,5,30,31,2.36111,1.66667
CC(C)OC(=O)C(Cl)(Cl)Cl,175,2,0,1,0.111111,2.3082,41.518,203.951,11.9971,123,10,44,45,6.53472,2.16667
FCC(F)(F)F,-26,0,0,0,0,1.5182,12.03,102.009,12.7512,28,3,24,22,4.3125,1.375
ClC(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,249,0,0,0,0,4.3342,50.221,281.79,25.6173,111,12,48,51,7.23611,2
CC(=C)C(Cl)=O,96,1,0,1,0.2,1.3279,25.674,104.003,9.45481,29,4,22,21,4.22222,1.44444
ClC1=CC=C(Cl)S1,162,1,0,0,0,3.0549,34.339,151.925,16.8806,41,4,32,34,2.97222,1.58333
COC1=CC=C(C=C1)C(C1=CC=C(OC)C=C1)C(Cl)(Cl)Cl,346,2,0,4,0.181818,5.2059,88.121,344.014,9.55594,932,32,106,122,8.11806,4.72222
CC1=CC=C(Cl)C=C1N(=O)=O,242,2,0,1,0.0909091,2.55662,42.8434,171.009,10.0593,148,14,52,58,5.19444,2.47222
NC1=C(F)C(F)=C(F)C(F)=C1F,153,1,1,0,0,1.9643,30.6444,183.011,13.0722,174,21,60,72,6.66667,2.66667
OC(=O)C(Cl)=C(Cl)Cl,222,1,1,1,0.142857,1.9565,32.2208,173.904,19.3227,65,8,32,33,5.33333,1.88889
ClC(=O)C(Cl)(Cl)Cl,117.9,1,0,0,0,2.122,31.15,179.87,25.6958,42,6,30,30,5.17361,1.5
FC1=C(F)C(F)=C(C=O)C(F)=C1F,167,1,0,1,0.0769231,2.1946,31.6195,195.995,13.9996,220,23,64,77,6.91667,3
ClC(Cl)(Cl)Br,105,0,0,0,0,2.709,29.217,195.825,39.165,16,0,20,16,4.0625,1
C[Si](C)(Cl)CCl,115.5,0,0,1,0.2,2.2083,34.055,141.977,10.1412,28,3,24,22,4.3125,1.375
NC1=C(Cl)C=CC(Cl)=C1,251,1,1,0,0,2.5756,40.8744,160.98,11.4986,84,10,42,46,4.08333,2.02778
CCOC(=O)C(C)Cl,147,2,0,2,0.285714,1.1768,31.948,136.029,8.00171,70,7,30,30,4.72222,2.02778
FC(F)(Cl)C(F)(Cl)I,99,0,0,1,0.142857,3.1151,34.512,277.837,34.7297,58,9,38,40,6.125,1.5625
ClC1=CC(=CC=C1)C1=CC=CC(Cl)=C1,320,0,0,1,0.0666667,4.6604,61.898,222,10.0909,301,18,70,79,4.44444,3.11111
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-1.9,0,0,1,0.0769231,3.3816,22.004,237.984,16.9989,259,27,74,88,10.25,2.6875
FC1=C(F)C(F)=C(C#N)C(F)=C1F,162,1,0,0,0,2.25378,30.947,192.995,14.8458,220,23,64,77,6.91667,3
CC1=CC=C(C=C1)C(Cl)=O,226,1,0,1,0.1,2.37402,41.3625,154.019,9.05991,120,11,46,50,4.33333,2.27778
ClC(=O)C1=CC=C(Cl)C=C1,222,1,0,1,0.1,2.719,41.6355,173.964,12.426,120,11,46,50,4.33333,2.27778
FC(Cl)(Cl)C(Cl)(Cl)Cl,135,0,0,0,0,3.4575,35.835,217.843,27.2303,58,9,38,40,6.125,1.5625
COCC(F)F,48.5,1,0,2,0.4,0.8979,17.88,96.0387,8.00322,32,3,20,18,3.61111,1.58333
FC(F)(F)C1=NC(=NC(=N1)C(F)(F)F)C(F)(F)F,95.5,3,0,0,0,2.928,34.833,284.995,15.833,552,27,96,108,10.2708,3.5
NC1=C(C=CC=C1)C(F)(F)F,187,1,1,0,0,2.2876,35.8564,161.045,9.47325,144,14,54,60,5.28472,2.36111
CCOC(=O)C(F)Cl,129,2,0,2,0.285714,1.0839,27.382,140.004,10.0003,70,7,30,30,4.72222,2.02778
NC1=CC(Cl)=CC(Cl)=C1,261,1,1,0,0,2.5756,40.8744,160.98,11.4986,84,9,42,45,4.08333,2
CC1=CC(=C(Cl)C=C1)N(=O)=O,261,2,0,1,0.0909091,2.55662,42.8434,171.009,10.0593,148,14,52,58,5.19444,2.47222
FC1=CC=C(C=C1)N(=O)=O,205,2,0,1,0.1,1.7339,33.0544,141.023,10.073,120,11,46,50,4.33333,2.27778
FC=C(F)F,-51,0,0,0,0,1.6938,11.407,82.003,13.6672,18,2,16,14,3.36111,1.33333
CCCCCCC(C)Cl,172,0,0,5,0.625,3.5841,44.074,148.102,5.69623,114,6,32,30,4.36111,2.33333
CC1=CC=C(C=C1)B(F)F,128,0,0,1,0.1,1.62922,38.783,140.061,8.23888,120,11,46,50,4.33333,2.27778
ClC#C,-30,0,0,0,0,0.8159,14.686,59.9767,14.9942,4,0,6,4,2.25,1
FC1=CC=C(C=C1)C1=CC=CC=C1,253,0,0,1,0.0714286,3.4927,51.836,172.069,7.82131,252,16,64,72,3.58333,2.94444
CCC(Cl)=C,58.5,0,0,1,0.25,2.1489,25.284,90.0236,7.50197,18,2,16,14,3.36111,1.33333
ClCCN(=O)=O,173.5,2,0,2,0.4,0.5019,22.5814,108.993,10.8993,32,3,20,18,3.61111,1.58333
CCOC(=O)C1=CC=C(Cl)C=C1,237.5,2,0,2,0.166667,2.5167,47.4085,184.029,8.76329,211,14,54,59,4.83333,2.86111
ClC(Cl)C(Cl)C(Cl)Cl,199,0,0,2,0.285714,3.2012,40.629,213.868,19.4425,65,8,32,33,5.33333,1.88889
CC1=CC(O)=C(Cl)C=C1Cl,234,1,1,0,0,3.00742,42.8638,175.98,10.9987,111,13,48,54,4.94444,2.22222
ClCC(Cl)=C,94,0,0,1,0.25,1.9777,25.713,109.969,12.2188,18,2,16,14,3.36111,1.33333
CCC[Si](Cl)(Cl)Cl,123.5,0,0,2,0.333333,3.0517,38.411,175.938,12.567,46,4,28,26,4.5625,1.625
FC(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F,56,1,0,1,0.0526316,3.7434,30.767,315.976,16.6303,555,46,112,144,12.625,3.5625
CC1=C(F)C(F)=C(C)C(F)=C1F,143.5,0,0,0,0,2.85984,35.748,178.041,9.89114,174,21,60,72,6.66667,2.66667
F\C(Cl)=C(\F)Cl,21.1,0,0,0,0,2.5296,20.948,131.935,21.9891,29,4,22,21,4.22222,1.44444
ClC1=CC(Cl)=CC=C1,173,0,0,0,0,2.9934,36.462,145.969,12.1641,61,7,36,38,3.22222,1.83333
ClCC(=O)CCl,173.4,1,0,2,0.4,1.0331,26.447,125.964,12.5964,31,4,20,19,3.61111,1.66667
ClC1=CC2=C(Cl)C(Cl)=C(Cl)C=C2C(Cl)=C1Cl,370,0,0,0,0,6.7602,74.008,331.829,18.4349,384,30,86,105,7.38889,3.44444
C\C(Cl)=C\C(O)=O,195,1,1,1,0.166667,1.2136,27.2458,119.998,9.99982,48,4,26,24,4.47222,1.66667
FC(F)(F)C(F)(Cl)C(F)(F)Cl,34.1,0,0,1,0.1,3.2849,26.547,219.928,19.9935,136,18,56,64,8.1875,2.125
FC(F)=C(F)Br,-1,0,0,0,0,2.4164,19.277,159.914,26.6523,29,4,22,21,4.22222,1.44444
CC(C)(C)OC(=O)CCl,150,2,0,1,0.125,1.5669,36.565,150.045,7.50224,94,7,38,37,5.67361,2.04167
COC1=C(F)C(F)=C(F)C(F)=C1F,138.5,1,0,1,0.0769231,2.3907,32.784,198.01,12.3757,220,23,64,77,6.91667,3
C[Si](C)(C)Cl,60,0,0,0,0,2.0601,29.199,108.016,7.71544,16,0,20,16,4.0625,1
CC1=C(Cl)C=CC(O)=C1Cl,236,1,1,0,0,3.00742,42.8638,175.98,10.9987,109,14,48,55,4.94444,2.25
C\C=C(/Cl)C(O)=O,212,1,1,1,0.166667,1.2136,27.2458,119.998,9.99982,46,6,26,26,4.47222,1.77778
CC(Cl)=C(Cl)Cl,118,0,0,0,0,2.8918,30.259,143.93,15.9922,29,4,22,21,4.22222,1.44444
CC(C)(C)OC(=O)C(F)(F)F,83,2,0,0,0,1.8904,31.9,170.055,8.50277,156,11,52,53,7.48611,2.20833
CCC(C)(Cl)CCl,134,0,0,2,0.333333,2.6327,35.269,140.016,8.23623,44,6,28,28,4.5625,1.75
Cl\C(=C/C1=CC=CC=C1)C1=CC=CC=C1,322,0,0,2,0.125,4.4235,66.608,214.055,8.23288,394,18,72,80,4.08333,3.44444
CC(C)=CCCl,109,0,0,1,0.2,2.1914,30.151,104.039,6.93595,32,3,20,18,3.61111,1.58333
FC(=C)C=C,12,0,0,1,0.25,1.6556,20.445,72.0375,7.20375,18,2,16,14,3.36111,1.33333
FCC(F)F,5,0,0,1,0.25,1.221,11.979,84.0187,10.5023,18,2,16,14,3.36111,1.33333
ClC1=CC=C(C(Cl)=C1)N(=O)=O,258.5,2,0,1,0.0909091,2.9016,43.1164,190.954,13.6396,150,14,52,58,5.19444,2.47222
ClC1=CC(Cl)=C(Cl)N=C1Cl,250.5,1,0,0,0,3.6952,44.277,214.886,19.5351,111,13,48,54,4.94444,2.22222
FC(F)(F)C(F)(F)C(F)(F)F,-36.6,0,0,0,0,2.7463,17.057,187.987,17.0897,136,18,56,64,8.1875,2.125
CC1(C)C2CCC1(C)C(Cl)C2,207.5,0,0,0,0,3.44,48.87,172.102,6.1465,123,19,66,85,5.09722,2.1875
FC1=C(CC#N)C=CC=C1,232,1,0,1,0.1,1.89178,35.717,135.048,8.44053,121,11,44,48,3.72222,2.44444
FC(F)(F)C(=O)C(F)(F)F,-27.4,1,0,0,0,1.6801,17.117,165.985,16.5985,111,12,48,51,7.23611,2
