SMILES,boiling_point,nHBAcc,nHBDon,nRot,RotRatio,SLogP,SMR,MW,AMW,WPath,WPol,Zagreb1,Zagreb2,mZagreb1,mZagreb2
string,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
COC1=C(F)C(F)=CC(F)=C1F,138,1,0,1,0.0833333,2.2516,32.826,180.02,11.2512,180,19,58,68,6.05556,2.77778
ClC(Cl)C(=O)C(Cl)Cl,183,1,0,2,0.285714,2.1629,35.995,193.886,19.3886,65,8,32,33,5.33333,1.88889
FC(F)(Cl)C(F)(Cl)Cl,47.7,0,0,1,0.142857,2.9189,26.345,185.902,23.2377,58,9,38,40,6.125,1.5625
CCCCCCCCCCCCCl,260,0,0,10,0.833333,5.1461,62.564,204.164,5.37275,364,10,46,44,4.75,3.5
OCCCCl,165,1,1,2,0.5,0.6076,22.4228,94.0185,7.83488,20,2,14,12,2.75,1.5
CC(Cl)C=C,64.5,0,0,1,0.25,1.7997,25.512,90.0236,7.50197,18,2,16,14,3.36111,1.33333
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,103,0,0,4,0.16,5.9228,41.792,437.971,16.845,1273,63,146,184,18.5,4.9375
FC(F)Cl,-40.7,0,0,0,0,1.4478,11.857,85.9735,17.1947,9,0,12,9,3.11111,1
CC(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,320,0,0,2,0.117647,5.1452,70.421,250.032,8.9297,459,22,80,91,5.55556,3.55556
CC(C)(C)CCCl,115,0,0,1,0.166667,2.6614,34.792,120.071,6.00353,46,4,28,26,4.5625,1.625
CCCCCCCCCCF,186.2,0,0,8,0.8,4.0966,48.585,160.163,5.00509,220,8,38,36,4.25,3
FC1=C(C=CC=C1)C(F)(F)F,114.5,0,0,0,0,2.8445,31.402,164.025,10.935,144,14,54,60,5.28472,2.36111
C[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,295,0,0,2,0.125,2.6149,69.623,232.048,8.28741,352,22,76,88,4.78472,3.33333
FC(F)(F)C1=CC=CC=C1,102.1,0,0,0,0,2.7054,31.444,146.034,9.73562,114,11,48,52,4.42361,2.16667
ClC(Cl)=C,31.7,0,0,0,0,1.9352,20.846,95.9534,15.9922,9,0,12,9,3.11111,1
ClCCCOC(Cl)=O,177,2,0,3,0.428571,1.9907,32.538,155.974,11.141,79,5,28,26,4.11111,2.08333
ClC(Cl)(Cl)C1OC(C(=O)O1)C(Cl)(Cl)Cl,272.5,3,0,0,0,2.9949,55.333,319.814,19.9883,284,19,74,84,7.95833,2.77778
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)F,101.5,0,0,0,0,5.0824,39.576,399.974,16.6656,942,69,144,192,16.5,4.5
ClCCC=C,75,0,0,2,0.5,1.8013,25.534,90.0236,7.50197,20,2,14,12,2.75,1.5
FC1=CC(Br)=CC=C1,150,0,0,0,0,2.5882,34.1,173.948,14.4957,61,7,36,38,3.22222,1.83333
FC1=CC=C(F)C(F)=C1F,94.3,0,0,0,0,2.243,26.274,150.009,12.5008,109,14,48,55,4.94444,2.25
CC(=C)CCl,71.5,0,0,1,0.25,1.8013,25.534,90.0236,7.50197,18,2,16,14,3.36111,1.33333
FC(F)(Cl)C(Cl)Cl,71.9,0,0,1,0.166667,2.6217,26.294,167.911,20.9889,42,6,30,30,5.17361,1.5
FC(F)C(F)C(F)(F)F,6.5,0,0,1,0.125,2.1519,16.955,152.006,13.8187,86,10,40,42,6.28472,1.94444
CCCCCC[Si](Cl)(Cl)Cl,190,0,0,5,0.555556,4.222,52.262,217.985,9.47762,146,7,40,38,5.3125,2.375
FC(F)(F)C(F)(F)C(Cl)(Cl)Cl,74,0,0,0,0,3.5542,31.292,235.899,21.4453,136,18,56,64,8.1875,2.125
OC(=O)CCl,189.3,1,1,1,0.25,0.3098,18.3558,93.9822,11.7478,18,2,16,14,3.36111,1.33333
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,196,2,1,2,0.153846,1.6646,27.4976,249.953,16.6636,259,27,74,88,10.25,2.6875
ClC1=CC(Cl)=CC(Cl)=C1,208,0,0,0,0,3.6468,41.472,179.93,14.9942,84,9,42,45,4.08333,2
CC(Cl)N(=O)=O,124.5,2,0,1,0.2,0.8479,22.3094,108.993,10.8993,29,4,22,21,4.22222,1.44444
CCOCCCl,107.5,1,0,3,0.6,1.2617,27.213,108.034,7.20228,35,3,18,16,3,1.75
CC(Cl)CO,133.5,1,1,1,0.25,0.606,22.4008,94.0185,7.83488,18,2,16,14,3.36111,1.33333
FC(F)(F)C1(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,125,0,0,0,0,5.7177,44.523,449.971,16.6656,1284,78,162,216,18.5625,5.0625
FC(F)(F)CC(F)(F)F,-1.1,0,0,0,0,2.5011,16.727,152.006,13.8187,88,6,42,40,6.375,1.75
CC1=C(Cl)C=CC=C1Cl,198,0,0,0,0,3.30182,41.199,159.985,10.6656,82,11,42,47,4.08333,2.05556
CC(=O)C1=CC=C(Cl)C=C1,232,1,0,1,0.1,2.5426,41.4565,154.019,9.05991,120,11,46,50,4.33333,2.27778
FCCCl,53.1,0,0,1,0.333333,1.1947,16.695,81.9986,10.2498,10,1,10,8,2.5,1.25
FC(F)(F)C1=CC=C(Cl)C(=C1)N(=O)=O,222,2,0,1,0.0714286,3.267,43.1084,224.98,13.2341,289,20,70,79,7.25694,2.97222
FC(Cl)C(F)(F)Br,52.5,0,0,1,0.166667,2.5085,24.623,195.89,24.4863,42,6,30,30,5.17361,1.5
ClC\C=C/Cl,104.3,0,0,1,0.25,1.9777,25.713,109.969,12.2188,20,2,14,12,2.75,1.5
CC1=CC(F)=CC=C1,115,0,0,0,0,2.13412,31.137,110.053,7.33688,61,7,36,38,3.22222,1.83333
ClCCC=O,130,1,0,2,0.5,0.8142,21.401,92.0029,9.20029,20,2,14,12,2.75,1.5
